intent|prompt
Drama|"Desde el ""Amigo Félix"" de Enrique y Ana no se veía nada parecido: gente llorando por los pasillos, señoras desmayadas en el anfiteatro, palomitas desinfladas, el Samur en la puerta de los cines... El drama de la década. Un espectáculo dentro y fuera de la sala.¿Los méritos? Según el color del cristal. En mi opinión se demuestra con la peli que echamos cada día menos a volar la imaginación, porque cuando se relató esto mismo en los informativos, a las familias no nos daba el yuyu en el salón, es más: seguíamos cenando tranquilamente y simplemente exclamábamos con la boca llena: ""qué fuerte""¿Qué esperábamos ver? ¿Qué pensábamos qué ocurrió? O mejor dicho, ¿ no esperábamos algo peor? Porque, a fin de cuentas,"
Drama|"300.000 personas muertas a causa de un desastre natural, la mayoría de ellas café con leche... pues hagamos una película sobre blanquitos occidentales no vaya a ser que la gente no se sienta identificada.Cuando un ""Ohhhhhhhhhhhhh"" vomitivo inunda una sala de cine cada vez que un niño rubio sale en primer plano, es que la cosa no pinta bien.La película se resume en un anuncio de seguros. Para el que no lo sepa, está patrocinada por Zurich Seguros ""pague y márchese de este infierno"", una patada a toda la ética que puedas acumular durante una vida.Después de que aparezca ese monstruo en forma de ola (que tampoco es que sea de lo más espectacular visto en pelis de catástrofes) no pasa absolutamente nada. En ocasiones me daba vergüenza mirar a la pantalla, los momentos de música a todo volumen con lágrimas incorporadas me hacían sentir incómodo. Todos los clichés habidos y por haber están aquí, todo huele a prefabricado. Las pasteladas familiares de Spielberg son auténtico gore de serie-Z comparado con este engendro. Uno también se emociona, más de lo que os podéis creer, pero con esta bazofia me es IMPOSIBLE."
Drama|"Hay dos maneras de enfrentarse a Lo imposible: con prejuicios de cinéfilo maleado, del tipo ""me quiere hacer emocionar a golpe de música y primeros planos de llanto, muy visto"", o la de dejarte llevar por un épica historia de supervivencia excepcionalmente filmada. Reconozco que pertenezco al segundo tipo. La película me enganchó desde el mismo comienzo, que narra lo cotidiano, la familia durante su llegada al hotel, pero con sutiles premoniciones de desastre. Repito, Bayona dirige lo imposible con maestría. Fui zarandeado por el tsunami y agitado por la emoción del desastre familiar y a su lucha por la supervivencia totalmente entregado. Sólo tuve algún destello de prejuicio cinéfilo en una larga secuencia central llena de casualidades y de dilatación del tempo, pero acabé llorando en la resolución como quería el director. Un director que no tiene nada que envidiarle a los directores americanos de películas de desastres. Hasta tal punto que es una película de efectos especiales en la que no tienes la sensación de que haya efectos especiales. No hay ni un sólo plano que te haga pensar en un potente ordenador generando efectos. Es de una naturalidad sobrecogedora en el apartado técnico, lo que permite que el drama se viva con una intensidad libre de ""sospechas informáticas"" y puedas entregarte a la épica de la historia sin reticencias. El espectador de cine del siglo XXI está ya muy baqueteado por su consumo masivo de ""audiovisuales"", pero Bayona sortea todos los obstáculos y convierte una historia directa, sensible, emotiva, telúrica en una catarsis emocional que te deja fundido. El director no tendrá problemas para financiar su siguiente película. Esta segunda obra lo ha colocado sin dudas en el top ten de los directores del orbe."
Drama|No me suele gustar que me tomen por tonta. Pero si lo hacen bien, hasta se lo perdono. Este no es el caso. Pero si hay algo que no aguanto es que me anulen por completo. Y esta película anula al espectador. En la entrada de la sala te cachean y te despojan de tu libertad, de la capacidad de pensar por ti mismo (al parecer esto está muy mal visto). Y sin cerebro, pero con palomitas para dos semanas, te sientas para que te cuenten lo que les da la gana. Te manipulan desde todos los angulos posibles, y desde los imposibles también. Siendo la banda sonora la dueña que te maneja cual marioneta a su antojo. Todo masticado, previsible , fácil y con exceso de pretensiones emocionales.Basada en hechos reales, con un reparto más que aceptable y yo no me creo ni una sola palabra. Algo falla, y debe ser grave. Los personajes son planos. Rubios, pero planos. Bayona va por el camino fácil, con el fin de conseguir las lágrimas del espectador en rebajas. Infravalorar la inteligencia del público es uno de los peores delitos que se pueden cometer (al menos a mi, no me hace ninguna gracia).A su favor, Bayona vuelve a demostrar algo que ya hizo de manera magistral en 'El orfanato'. Dirige como Dios a los niños. Yo mantengo la esperanza en el talento que considero tiene y mucho Bayona. Un talento, quizás desaprobechado.
Drama|"Pasados los minutos iniciales, después de la catástrofe, todo se vuelve turbio:—Enseñe abundantemente las heridas de Naomi, no sea que el espectador no lo pille a la primera.—Aderece la película con reacciones atificiales: si te encuentras a un herido, arrástrale por el suelo, por el lodo, que sufra, que se oiga bien su sufrimiento.—Que abunden los primeros planos con ojos llorosos. Que no solo salgan una vez, que sean abundantes y regulares, que se vea lo que el personaje sufre.—Convierte el melodrama en una caricatura. Invéntate el metamelodrama. Que el dolor sea una caricatura de sí mismo. Ya que hay dolor: ¡QUE GRITE A VOCES!—Que sea una película resultona, que salga buena casquería de la boca de los intérpretes.—Que la banda sonora suene potente y sin ton ni son: venga vamos a llorar más.Con una factura técnica impecable, no es capaz de emocionarme una sola vez por culpa de un mediocre guion. No hay emociones verdaderas en esta película. Todo es humo; hay película, sin embargo no veo una película.Ahora haga el siguiente experimento: Reproduzca los primeros minutos de ""Mas Allá de la Vida"",  la película de C. Eastwood. Habrá visto más cine y más dolor que en los 100 que dura la película de J.A. Bayona."
Drama|"Juan Antonio Bayona, tras el éxito de su película ""El Orfanato"" regresa por la puerta grande con una película de primera línea inspirada en la experiencia real vivida por una familia durante el desastre natural acontecido en 2004 en el sudeste asiático, un tsunami que sesgó cientos de vidas y destrozó cientos de familias.María y Henry se desplazan a pasar la navidad a un resort de primera línea de playa junto a sus tres hijos, un lugar idílico, un paraíso tropical donde relajarse y olvidar las preocupaciones. Pero de repente, la furia de la naturaleza se desata y una ola inmensa se alza arrasando todo a su paso, separando a la familia y arrastrándolos hacia la muerte. Esta es la historia de su lucha por la supervivencia y la desesperada búsqueda a la que les fuerza el desastre.Presentada con éxito en los festivales de Toronto y San Sebastián,  ""The Impossible"" ha cosechado el favor de crítica y público y la unanimidad en la valoración del primer tercio de metraje como uno de las más angustiosas, realistas, viscerales y terroríficas recreaciones visuales de un desastre natural en la gran pantalla. La dureza de las imágenes encoge el ánimo del espectador, el horror traspasa las retinas y se instala en las entrañas y la empatía que consigue Bayona con las vivencias mostradas es inevitable.La segunda parte de la película, la epopeya de búsqueda y supervivencia de aquellos miembros de la familia que ganaron la batalla contra el poder de la rabia del océano busca un camino distinto para llegar a la audiencia dejando a un lado la sangrienta angustia para tocar la emoción y el corazón. Una potente banda sonora a cargo de Fernándo Velazquez y unas desgarradas interpretaciones fluyen junto a un guión que manipula y guía al espectador a terrenos donde la lágrima es buscada y conseguida.Cabe destacar, no sólo la titánica labor del director ante un proyecto de tal magnitud, sino también la de su elenco protagonista, absolutamente convincente y de rotunda efectividad. Naomi Watts y Ewan McGregor encarnando a los padres se dejan la piel en sus interpretaciones llenas de verdad, y la elección de los niños que dan vida a sus hijos en la ficción es digna de un casting de los viejos tiempos de Spielberg. Todo un acierto.Con todo ello es ""Lo imposible"" una película que arranca en lo espectacular sin perder realismo ni ahorrar horror ni sangre, que camina por la aventura desgarrada y termina con un baño de emociones. Un éxito que subraya que el buen cine, además de lo artístico, puede beber del espectáculo, la emoción, y sobre todo el entretenimiento más visceral. Altamente recomendable.-Enoch-"
Drama|Las señoras viejunas vomitan por los pasillos, los padres de familia numerosa moquean en sus kleenex mentolados, las parejas se abrazan y se juran amor eterno, la  rubia de la séptima fila mira a su maromo pensando en que nunca dejaría de buscarle, pasara lo que pasara, mientras él le devuelve la mirada pensando: “esta noche fijo que mojo”.... Pero quien más llora de emoción es Telecinco contando el tsunami de billetes que entra desbordando las taquillas ¡Qué felicidad, coño, ya tenemos para tres temporadas más de “Sálvame”!Vamos a ver, “Lo imposible” es artificiosa, manipuladora, repetitiva, funciona a golpe de efecto, de momentos forzadamente emotivos machacados con violines in crescendo... Y me ha gustado a pesar de todo. Porque para engañar al espectador, para llevarlo por los derroteros que uno quiera, hay que tener talento. Y de eso, de momento, parece que Bayona y su equipo van sobrados. Sus bases cinematográficas son sólidas, técnicamente es impecable, narrativamente funciona como un reloj, la fotografía pide un Oscar a gritos y los actores lo bordan. La Watts, McGregor y el prepúber Tom Holland (¡menudo futuro te espera, chaval!) están magníficos sin atisbo de  duda; todos los elementos están ahí pero el conjunto en sí dista de ser memorable.¿Qué me ha fallado? ¿La sobreexposición mediática? ¿Expectativas exacerbadas? ¿Que no igualara a ese estupendo debut llamado “El Orfanato”? No. Es simplemente que no he visto nada nuevo, nada sorprendente, nada realmente magistral que me deje un poso después de su proyección; hay mucho buen oficio pero poca magia, y para esa sí que no hay recetas que valgan. O la hay o no. Punto. En fin,  no me hagan mucho caso, que la peli está realmente bien, aunque no me haya entusiasmado. Igual es que me he vuelto un maldito cabrón insensible.
Drama|No hay nada mas patético en un film que dedicar los 100 minutos de este a emocionar y que consiga todo lo contrario. Lo imposible es un gran bluff, yo diría que de los mas grandes de la historia del cine....hay mucho presupuesto, grandes nombres y una campaña de promoción salvaje...por no hablar de las innumerables criticas positivas que empiezo a pensar que son compradas de alguna manera.Para empezar, el guión, estructura que proporciona la calidad intrínseca de cualquier película es plano, aburrido y previsible....los diálogos son de vergüenza ajena y la química entre los dos interpretes es infumable.Como película de desastres solo se salva el momento tsunami y sus siguientes 15' y ya esta...ya te puedes ir del cine porque lo que viene después es un conjunto patético de cliches, momentos de verguenza ajena, planos inertes que no trasmiten nada.......lo dicho, un bluff.
Comedia|"Segunda parte del mayor éxito comercial del cine español de todos los tiempos: ""Ocho apellidos vascos"".  Lo que en esta era ingenioso, ahora es totalmente desastroso. No funciona nada. Ni una pizca, ni un atisbo de la frescura y simpatía de la aceptable película original, que conocía bien sus modestas ambiciones y sus limitaciones y resultaba un agradable entretenimiento para el gran público teniendo más calidad que otras películas de su género. En la secuela todo es infinitamente inferior. No hay ni un solo momento que me arranque no ya una risa, sino una simple sonrisa. Todo suena forzado, falso y carente de buenas ideas. Desde el minuto uno de película me invade la vergüenza ajena (destacables esos espantosos títulos de crédito ""Google Maps feat. Star Wars"") y tengo claro de que lo voy a pasar bastante mal durante los 98 minutos restantes. Probablemente haya gente a la que le haga gracia o encuentre diversión en estos personajes histriónicos y nada interesantes. Yo, desde luego, no. Pero ya no es solo que particularmente no me divierta, sino que la historia es tan pobre, tan previsible y está contada de forma tan automática que es desesperante. Aunque esto no sería tan grave si en los diálogos, situaciones y personajes hubiera algo de ingenio o de inteligencia, como en su predecesora.Los actores tampoco salen bien parados, ya que la mayoría están pasados de rosca o sus personajes son tan insulsos que es imposible que tengan un mínimo de lucimiento.  Especial mención a un bochornoso Berto Romero, incapaz de resultar creíble y mucho menos gracioso. El único que se salva de esta generalización es Karra Elejalde, que hace lo que puede con su personaje pero en vano.En el apartado técnico tampoco hay nada que se pueda rescatar. La dirección es rutinaria y propia de una sitcom mala. También la fotografía es digna de las peores series de televisión, y es un festival de fallos de raccord de luz y cromas cutres.No me gusta ser tan crítico, pero es que de donde no hay no se puede sacar. Lo que era gracioso y funcionaba en la primera, aquí agota hasta la extenuación y hasta resulta aburrida, que es una de las peores cosas que se pueden decir de una comedia. Irá mucha gente a verla y sus creadores ganarán mucho dinero. Solo espero que no sigan haciendo más películas sobre estos personajes, ya los han explotado más que suficiente."
Comedia|Lo siento por todos vosotros, pero habéis cometido el mismo error que cometí yo cuando con 10 años empecé a poner la excusa de que no había hecho los deberes porque me encontraba mal. La primera vez coló, pero al repetir la farsa y elaborar cada vez menos mis pícaros pretextos acabé recibiendo una justa y merecida regañina.Arrasasteis con la primera parte pese a sus infinitas carencias, conseguisteis colar vuestro producto a millones de personas e incluso ganasteis unos cuantos Goyas. La trama es simple y absurda. La comedia brilla por su ausencia o se limita a la exageración del acento andaluz. Si en la primera por lo menos teníamos un par de secundarios que servían de excusa para ver la película en esta no tenemos nada. Se hace una caricatura del actor caricaturizando a una caricatura, es decir, una tontería. Ni las nuevas incorporaciones aportan nada ni los que repiten sacan adelante esta película.Amigos míos, sé que el dinero huele muy bien y que lo que buscabais con esta segunda parte era dar gusto a vuestro olfato, pero la habéis cagado. Sí, que os quiten lo bailado, lo entiendo (a mí me pasó lo mismo), pero no volveréis a colar nada a nadie. Habíais conseguido una misión imposible, hacer creer a mucha gente que Dani Rovira era todo un actorazo, que incluso hacía gracia. No amigos no, es hora de ir al rincón de pensar a recapacitar sobre lo que habéis hecho.
Terror|"1) La película huele a refrito, se pueden reconocer varias secuencias ya vistas pero están bien ensambladas en conjunto y el resultado no chirría. Algunos de los que denostan esto alaban en otras críticas el Kill Bill del femdom-lover Tarantonto quien fusila milimétricamente bajo la falsa excusa del homenaje un montón de trabajos ajenos.2) No se puede entrar al cine tan a la defensiva, en un estado de alerta felina dispuesto a saltar ante el más mínimo desliz del director o guionista. Parece que esa gente libera sus frustaciones de esa manera. Que se compren una cámara, comiencen a rodar lo que les gustaría ver y dejen de llorar de una vez. Intoxican al lector de críticas que solo quiere leer una opinión honesta libre de tribulaciones personales.3) El film mantiene un ritmo más o menos constante durante casi todo su metraje. Crea una atmósfera de tensión notable, capta la atención del espectador, entretiene, engaña (o trata de hacerlo) y sobre todo, no aburre. Sustos garantizados. Hay que sentarse y dejarse llevar, siguiendo el camino que marca el director. Entras en su mundo así que no intentes cambiar nada. Lo tomas o lo dejas.4) Actuaciones. Parece que salir en pantalla con mirada de drogada es garantía de recibir alabanzas unánimes y tildar una buena actuación de soberbia. Es cierto que hay momentos en los que está muy bien, pero también hay otros en los que llegó a darme una ligera verguenza (¿como coño se pone la diéresis?) ajena. Probablemente se deba a que no estoy habituado a ver cine español y los actores suelen parecerme demasiado teatrales, cercanos, televisivos... No se explicarlo.El marido no desentona, el niño esta cojonudo y los secundarios cumplen (especialmente Benigna y su llegada a la casa en Aston Martin). En definitiva, muy recomendable para los amantes del género. Yo lo soy, y prefiero revisitar ""Al final de la escalera"" o ""El replandor"" por septuagésimo quinta vez a tragarme esa basura infecta americana de supuesto terror con adolescentes despreciables que nos arrojan a la cabeza al menos dos veces por temporada. Por eso esta película me ha dejado tan buen sabor de boca, porque he podido disfrutar de un film de terror de verdad, pelín tramposo y con algún ligero fallo de guión pero que por primera vez en mucho tiempo ha conseguido que no mirara el reloj ni una sola vez durante 100 minutos y me ha transmitido sensaciones que ya tenía olvidadas.A disfrutar, queridos morlocks."
Terror|La película flojea desde el principio, cayendo en tópico tras tópico, copia tras copia.Si el guión no se cayese a trozos en algunos momentos podría llegar a generar desasosiego.Es una especie de Los Otros mezclado con Peter Pan y Destino Final...
